year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_ABN001,North Sulawesi,Ambon,Rijali,1643,########,9.19%,5.72%,4.26%,0.43%,0.73%,0.30%,0.00%,0.00%,3.47%,0.00%,0.00%,0.00%,0.00%,0.00%,"150,962","154,186","150,696","163,123","167,655","158,207",0,0,"145,645",0,0,0,0,0,"13,874",34.94%,8.92%,24.96%,13.05%,0
2020,1,ID_ABN002,North Sulawesi,Ambon,Honipupu,775,########,44.77%,17.55%,4.77%,3.74%,5.42%,2.19%,1.42%,0.00%,11.10%,0.00%,15.87%,0.26%,0.00%,0.00%,"170,489","189,042","221,809","171,822","181,331","179,856","167,862",0,"166,299",0,"152,768","178,849",0,0,"76,335",24.78%,0.43%,18.84%,10.71%,0
2020,1,ID_ABN003,North Sulawesi,Ambon,Teluk Ambon,620,########,26.94%,13.39%,13.23%,0.16%,0.00%,0.00%,0.00%,0.00%,12.42%,0.00%,0.97%,0.16%,0.00%,0.00%,"226,315","252,049","251,863","267,305",0,0,0,0,"202,144",0,"188,725","177,143",0,0,"60,959",22.33%,0.00%,26.36%,15.86%,0
2020,1,ID_ABN004,North Sulawesi,Ambon,Uritetu,78,"966,216",2.56%,2.56%,1.28%,0.00%,1.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"483,108","483,108","452,979",0,"513,237",0,0,0,0,0,0,0,0,0,"12,387",60.00%,0.00%,14.77%,14.77%,0
2020,1,ID_ABN005,North Sulawesi,Ambon,Teluk Ambon,465,########,13.98%,13.55%,2.80%,6.67%,2.15%,0.43%,0.00%,1.51%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,"279,132","280,525","250,164","283,867","301,978","273,050",0,"293,603","235,235",0,0,0,0,0,"39,018",39.29%,2.68%,23.27%,5.01%,0
2020,1,ID_ABN006,North Sulawesi,Ambon,Nusaniwe,713,"9,097,802",9.82%,7.85%,6.03%,0.28%,0.98%,0.00%,0.56%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,"129,969","129,366","130,052","112,594","135,707",0,"119,285",0,"132,378",0,0,0,0,0,"12,760",33.33%,5.26%,32.66%,17.55%,0
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,########,61.73%,25.81%,11.44%,7.04%,3.37%,3.96%,0.00%,0.00%,13.20%,0.00%,22.43%,0.15%,0.15%,0.00%,"167,247","161,092","157,324","160,226","167,941","167,686",0,0,"177,498",0,"168,334","148,588","180,000",0,"103,242",17.27%,1.92%,26.44%,18.79%,0
2020,1,ID_ABN008,North Sulawesi,Ambon,Teluk Ambon,837,"5,747,668",5.62%,3.94%,2.39%,0.96%,0.24%,0.00%,0.36%,0.00%,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,"122,291","121,647","123,232","106,206","120,744",0,"152,865",0,"123,808",0,0,0,0,0,"6,867",29.85%,0.00%,36.01%,23.12%,0
2020,1,ID_ABN009,North Sulawesi,Ambon,Nusaniwe,744,########,18.82%,11.56%,2.28%,5.65%,3.36%,0.00%,0.00%,0.27%,1.34%,0.00%,5.78%,0.13%,0.00%,0.00%,"234,345","230,942","190,177","237,278","250,315",0,0,"202,240","190,585",0,"251,488","227,333",0,0,"44,097",14.11%,0.00%,38.49%,27.61%,0
2020,1,ID_ABN010,North Sulawesi,Ambon,Nusaniwe,744,"4,871,129",3.76%,2.55%,2.15%,0.27%,0.13%,0.00%,0.00%,0.00%,1.21%,0.00%,0.00%,0.00%,0.00%,0.00%,"173,969","171,781","173,005","166,284","163,198",0,0,0,"178,587",0,0,0,0,0,"6,547",31.71%,0.00%,28.63%,15.96%,0
