year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_ABN001,North Sulawesi,Ambon,Rijali,1643,22794009.02,0.0919,0.0572,0.0426,0.0043,0.0073,0.003,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,150962,154186,150696,163123,167655,158207,0,0,145645,0,0,0,0,0,13874,0.3494,0.0892,0.24960000000000002,0.1305,0
2020,1,ID_ABN002,North Sulawesi,Ambon,Honipupu,775,59154142.11,0.4477,0.1755,0.0477,0.0374,0.0542,0.0219,0.0142,0.0,0.111,0.0,0.1587,0.0026,0.0,0.0,170489,189042,221809,171822,181331,179856,167862,0,166299,0,152768,178849,0,0,76335,0.2478,0.0043,0.1884,0.10710000000000001,0
2020,1,ID_ABN003,North Sulawesi,Ambon,Teluk Ambon,620,37800941.82,0.2694,0.1339,0.1323,0.0016,0.0,0.0,0.0,0.0,0.1242,0.0,0.0097,0.0016,0.0,0.0,226315,252049,251863,267305,0,0,0,0,202144,0,188725,177143,0,0,60959,0.2233,0.0,0.2636,0.1586,0
2020,1,ID_ABN004,North Sulawesi,Ambon,Uritetu,78,964670.0544,0.0256,0.0256,0.0128,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483108,483108,452979,0,513237,0,0,0,0,0,0,0,0,0,12387,0.6,0.0,0.1477,0.1477,0
2020,1,ID_ABN005,North Sulawesi,Ambon,Teluk Ambon,465,18145533.92,0.1398,0.1355,0.028,0.0667,0.0215,0.0043,0.0,0.0151,0.0043,0.0,0.0,0.0,0.0,0.0,279132,280525,250164,283867,301978,273050,0,293603,235235,0,0,0,0,0,39018,0.3929,0.0268,0.2327,0.0501,0
2020,1,ID_ABN006,North Sulawesi,Ambon,Nusaniwe,713,9099987.485,0.0982,0.0785,0.0603,0.0028,0.0098,0.0,0.0056,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,129969,129366,130052,112594,135707,0,119285,0,132378,0,0,0,0,0,12760,0.3333,0.0526,0.32659999999999995,0.17550000000000002,0
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,70410752.85,0.6173,0.2581,0.1144,0.0704,0.0337,0.0396,0.0,0.0,0.132,0.0,0.2243,0.0015,0.0015,0.0,167247,161092,157324,160226,167941,167686,0,0,177498,0,168334,148588,180000,0,103242,0.1727,0.0192,0.2644,0.18789999999999998,0
2020,1,ID_ABN008,North Sulawesi,Ambon,Teluk Ambon,837,5752495.265,0.0562,0.0394,0.0239,0.0096,0.0024,0.0,0.0036,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,122291,121647,123232,106206,120744,0,152865,0,123808,0,0,0,0,0,6867,0.2985,0.0,0.3601,0.23120000000000002,0
2020,1,ID_ABN009,North Sulawesi,Ambon,Nusaniwe,744,32813174.38,0.1882,0.1156,0.0228,0.0565,0.0336,0.0,0.0,0.0027,0.0134,0.0,0.0578,0.0013,0.0,0.0,234345,230942,190177,237278,250315,0,0,202240,190585,0,251488,227333,0,0,44097,0.1411,0.0,0.3849,0.2761,0
2020,1,ID_ABN010,North Sulawesi,Ambon,Nusaniwe,744,4866678.393999999,0.0376,0.0255,0.0215,0.0027,0.0013,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,173969,171781,173005,166284,163198,0,0,0,178587,0,0,0,0,0,6547,0.3171,0.0,0.2863,0.15960000000000002,0
