year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss,Review score,display_category
2020,1,ID_ABN001,North Sulawesi,Ambon,Rijali,1643,22794009.02,0.0919,0.0572,0.0426,0.0043,0.0073,0.003,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,150962,154186,150696,163123,167655,158207,0,0,145645,0,0,0,0,0,13874,0.3494,0.0892,0.24960000000000002,0.1305,0,6.4,OYO Hotels
2020,1,ID_ABN001,North Sulawesi,Ambon,Rijali,1643,22794009.02,0.0919,0.0572,0.0426,0.0043,0.0073,0.003,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,150962,154186,150696,163123,167655,158207,0,0,145645,0,0,0,0,0,13874,0.3494,0.0892,0.24960000000000002,0.1305,0,9.7,OYO Hotels
2020,1,ID_ABN001,North Sulawesi,Ambon,Rijali,1643,22794009.02,0.0919,0.0572,0.0426,0.0043,0.0073,0.003,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,150962,154186,150696,163123,167655,158207,0,0,145645,0,0,0,0,0,13874,0.3494,0.0892,0.24960000000000002,0.1305,0,7.2,OYO Hotels
2020,1,ID_ABN003,North Sulawesi,Ambon,Teluk Ambon,620,37800941.82,0.2694,0.1339,0.1323,0.0016,0.0,0.0,0.0,0.0,0.1242,0.0,0.0097,0.0016,0.0,0.0,226315,252049,251863,267305,0,0,0,0,202144,0,188725,177143,0,0,60959,0.2233,0.0,0.2636,0.1586,0,5.7,OYO Hotels
2020,1,ID_ABN003,North Sulawesi,Ambon,Teluk Ambon,620,37800941.82,0.2694,0.1339,0.1323,0.0016,0.0,0.0,0.0,0.0,0.1242,0.0,0.0097,0.0016,0.0,0.0,226315,252049,251863,267305,0,0,0,0,202144,0,188725,177143,0,0,60959,0.2233,0.0,0.2636,0.1586,0,6.3,OYO Hotels
2020,1,ID_ABN005,North Sulawesi,Ambon,Teluk Ambon,465,18145533.92,0.1398,0.1355,0.028,0.0667,0.0215,0.0043,0.0,0.0151,0.0043,0.0,0.0,0.0,0.0,0.0,279132,280525,250164,283867,301978,273050,0,293603,235235,0,0,0,0,0,39018,0.3929,0.0268,0.2327,0.0501,0,6.1,OYO Hotels
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,70410752.85,0.6173,0.2581,0.1144,0.0704,0.0337,0.0396,0.0,0.0,0.132,0.0,0.2243,0.0015,0.0015,0.0,167247,161092,157324,160226,167941,167686,0,0,177498,0,168334,148588,180000,0,103242,0.1727,0.0192,0.2644,0.18789999999999998,0,8.8,OYO Hotels
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,70410752.85,0.6173,0.2581,0.1144,0.0704,0.0337,0.0396,0.0,0.0,0.132,0.0,0.2243,0.0015,0.0015,0.0,167247,161092,157324,160226,167941,167686,0,0,177498,0,168334,148588,180000,0,103242,0.1727,0.0192,0.2644,0.18789999999999998,0,10.0,OYO Hotels
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,70410752.85,0.6173,0.2581,0.1144,0.0704,0.0337,0.0396,0.0,0.0,0.132,0.0,0.2243,0.0015,0.0015,0.0,167247,161092,157324,160226,167941,167686,0,0,177498,0,168334,148588,180000,0,103242,0.1727,0.0192,0.2644,0.18789999999999998,0,8.8,OYO Hotels
2020,1,ID_ABN007,North Sulawesi,Ambon,Nusaniwe,682,70410752.85,0.6173,0.2581,0.1144,0.0704,0.0337,0.0396,0.0,0.0,0.132,0.0,0.2243,0.0015,0.0015,0.0,167247,161092,157324,160226,167941,167686,0,0,177498,0,168334,148588,180000,0,103242,0.1727,0.0192,0.2644,0.18789999999999998,0,10.0,OYO Hotels
